pincode,area,state,lat,lon,cell_id,geo_source
124401,Dhamar,Haryana,28.9324,76.6991,29.00_76.75,geonames
124404,Samchana,Haryana,28.7857,76.6621,28.75_76.75,geonames
124406,Kansala,Haryana,28.9046,76.8039,29.00_76.75,geonames
124501,Bhainsru Kalan,Haryana,28.8559,76.6555,28.75_76.75,geonames
124504,Chudani,Haryana,28.7918,76.8258,28.75_76.75,geonames
124505,Jassaur Kheri,Haryana,28.7554,76.904,28.75_77.00,geonames
124506,Mandothi,Haryana,28.691,76.8561,28.75_76.75,geonames
124507,Bahadurgarh H.O,Haryana,28.7918,76.8258,28.75_76.75,geonames
124508,Luksar,Haryana,28.6328,76.7875,28.75_76.75,geonames
124514,Sunderpur,Haryana,28.9967,76.4843,29.00_76.50,geonames
125001,Hisar City,Haryana,29.0755,75.7562,29.00_75.75,geonames
125004,Dobhi,Haryana,29.1445,75.6366,29.25_75.75,geonames
125005,Badya Brahamana,Haryana,29.0738,75.8087,29.00_75.75,geonames
125006,Satroad Kalan,Haryana,29.0543,75.7998,29.00_75.75,geonames
125007,Chirod,Haryana,29.0251,75.6081,29.00_75.50,geonames
125011,Glf Hisar,Haryana,29.3034,75.7113,29.25_75.75,geonames
125021,,Haryana,29.3421,75.5074,29.25_75.50,prefix4
125033,Kumbha,Haryana,29.1091,75.9753,29.00_76.00,geonames
125038,Sulchani,Haryana,29.1954,76.0212,29.25_76.00,geonames
125039,Narnaund,Haryana,29.2709,76.105,29.25_76.00,geonames
125044,Kharar Alipur,Haryana,29.2096,75.817,29.25_75.75,geonames
125047,Gorakhpur,Haryana,29.3267,75.6849,29.25_75.75,geonames
125048,Chinder,Haryana,29.4155,75.5503,29.50_75.50,geonames
125049,Data,Haryana,29.1693,76.0338,29.25_76.00,geonames
125050,Kukranwali,Haryana,29.4974,75.4528,29.50_75.50,geonames
125051,Laduwas,Haryana,29.5981,75.5358,29.50_75.50,geonames
125052,Bagla,Haryana,29.2832,75.5137,29.25_75.50,geonames
125053,Ban Mandori,Haryana,29.3671,75.342,29.25_75.25,geonames
125055,Ferozabad,Haryana,29.5942,74.9045,29.50_75.00,geonames
125056,JCD Vidyapeeth Sirsa,Haryana,29.6148,74.9015,29.50_75.00,geonames
125058,Ding,Haryana,29.4681,75.2602,29.50_75.25,geonames
125075,Dharampura,Haryana,29.631,74.897,29.75_75.00,geonames
125076,Jodhpuria,Haryana,29.5245,74.8369,29.50_74.75,geonames
125101,Chautala,Haryana,29.7941,74.5536,29.75_74.50,geonames
125102,Mirzapur,Haryana,29.4235,74.9458,29.50_75.00,geonames
125103,Bijuwali,Haryana,29.8091,74.7261,29.75_74.75,geonames
125104,Masitan,Haryana,29.9038,74.6887,30.00_74.75,geonames
125106,Kullan,Haryana,29.6785,75.6916,29.75_75.75,geonames
125110,Chaharwala,Haryana,29.3608,75.1205,29.25_75.00,geonames
125111,Sanchla,Haryana,29.5393,75.6383,29.50_75.75,geonames
125113,Bithmara,Haryana,29.5162,75.842,29.50_75.75,geonames
125120,Tohana Mandi,Haryana,29.6373,75.8635,29.75_75.75,geonames
125121,Panihari,Haryana,29.356,75.8625,29.25_75.75,geonames
